Fecha,Primera,Segunda
2020-12-24,420,0
2020-12-25,5198,0
2020-12-26,8338,0
2020-12-27,8649,0
2020-12-28,8649,0
2020-12-29,8649,0
2020-12-30,8649,0
2020-12-31,8649,0
2021-01-01,8649,0
2021-01-02,8649,0
2021-01-03,8649,0
2021-01-04,9054,0
2021-01-05,10497,0
2021-01-06,10702,0
2021-01-07,10702,0
2021-01-08,10702,0
2021-01-09,10702,0
2021-01-10,10702,0
2021-01-11,10702,0
2021-01-12,10702,0
2021-01-13,10703,1029
2021-01-14,12821,5825
2021-01-15,13778,8299
2021-01-16,13801,8366
2021-01-17,13801,8366
2021-01-18,24836,8366
2021-01-19,44187,8368
2021-01-20,53491,8368
2021-01-21,56552,8368
2021-01-22,56964,8368
2021-01-23,56964,8368
2021-01-24,56964,8368
2021-01-25,56981,9771
2021-01-26,57002,10366
2021-01-27,57003,10400
2021-01-28,57003,10400
2021-01-29,57003,10405
2021-01-30,57004,10405
2021-01-31,57004,10405
2021-02-01,57004,10405
2021-02-02,70185,10411
2021-02-03,240598,10411
2021-02-04,414674,12519
2021-02-05,583388,13189
2021-02-06,611236,13194
2021-02-07,619872,13195
2021-02-08,841398,24963
2021-02-09,1083919,44323
2021-02-10,1356507,52655
2021-02-11,1607805,55536
2021-02-12,1837098,55746
2021-02-13,1866604,55780
2021-02-14,1871070,55780
2021-02-15,2136977,55780
2021-02-16,2357036,55790
2021-02-17,2545147,55790
2021-02-18,2700441,55790
2021-02-19,2842621,55790
2021-02-20,2852260,55790
2021-02-21,2853424,55790
2021-02-22,2961552,55811
2021-02-23,3055789,55851
2021-02-24,3141906,56024
2021-02-25,3227846,56168
2021-02-26,3305948,56286
2021-02-27,3315922,56290
2021-02-28,3316277,56290
2021-03-01,3453406,56697
2021-03-02,3612326,69110
2021-03-03,3770161,223151
2021-03-04,3914848,388959
2021-03-05,4051115,550502
2021-03-06,4060759,574627
2021-03-07,4061825,581521
2021-03-08,4198419,795493
2021-03-09,4337409,1032968
2021-03-10,4473161,1298417
2021-03-11,4644585,1543894
2021-03-12,4795786,1766976
2021-03-13,4820082,1793101
2021-03-14,4822828,1796935
2021-03-15,4980529,2069324
2021-03-16,5146830,2312753
2021-03-17,5297621,2528744
2021-03-18,5445591,2714794
2021-03-19,5581398,2869528
2021-03-20,5604542,2880512
2021-03-21,5607387,2881687
2021-03-22,5751304,3003606
2021-03-23,5898221,3094115
2021-03-24,6051030,3158865
2021-03-25,6207493,3214044
2021-03-26,6373397,3264955
2021-03-27,6386259,3267697
2021-03-28,6387228,3268118
2021-03-29,6537979,3383566
2021-03-30,6671233,3528106
2021-03-31,6797748,3681222
2021-04-01,6932055,3849635
2021-04-02,6933901,3854802
2021-04-03,6935775,3856144
2021-04-04,6936431,3856603
2021-04-05,7015901,4061250
2021-04-06,7108423,4207685
2021-04-07,7202746,4345877
2021-04-08,7278959,4508465
2021-04-09,7349240,4656383
2021-04-10,7360308,4671201
2021-04-11,7361391,4672558
2021-04-12,7438884,4831113
2021-04-13,7513225,4990772
2021-04-14,7591859,5140128
2021-04-15,7653293,5283905
2021-04-16,7710918,5416441
2021-04-17,7718729,5430771
2021-04-18,7719587,5432522
2021-04-19,7763173,5580856
2021-04-20,7802011,5727573
2021-04-21,7832920,5872355
2021-04-22,7888822,6015453
2021-04-23,7928437,6158454
2021-04-24,7934135,6170310
2021-04-25,7934483,6170995
2021-04-26,7977264,6323748
2021-04-27,8015986,6455175
2021-04-28,8059224,6579878
2021-04-29,8089865,6703797
2021-04-30,8140345,6740419
2021-05-01,8141391,6741619
2021-05-02,8142156,6742275
2021-05-03,8217868,6817502
2021-05-04,8298641,6905327
2021-05-05,8379754,6997955
2021-05-06,8460601,7073586
2021-05-07,8543101,7136044
2021-05-08,8559854,7143988