fecha,primera_dosis,segunda_dosis
2021-01-23,77,0
2021-01-24,146612,0
2021-01-25,146612,0
2021-01-26,146612,0
2021-01-27,146612,0
2021-01-28,146612,0
2021-01-29,146612,0
2021-01-30,146612,0
2021-01-31,327834,15692
2021-02-01,327834,15692
2021-02-02,327834,15692
2021-02-03,327834,15692
2021-02-04,327834,15692
2021-02-05,327834,15692
2021-02-06,327834,15692
2021-02-07,504736,66409
2021-02-08,504736,66409
2021-02-09,504736,66409
2021-02-10,504736,66409
2021-02-11,504736,66409
2021-02-12,504736,66409
2021-02-13,504736,66409
2021-02-14,628993,154445
2021-02-15,628993,154445
2021-02-16,628993,154445
2021-02-17,628993,154445
2021-02-18,628993,154445
2021-02-19,628993,154445
2021-02-20,628993,154445
2021-02-21,795326,218713
2021-02-22,795326,218713
2021-02-23,795326,218713
2021-02-24,795326,218713
2021-02-25,795326,218713
2021-02-26,795326,218713
2021-02-27,795326,218713
2021-02-28,1004757,331671
2021-03-01,1004757,331671
2021-03-02,1004757,331671
2021-03-03,1004757,331671
2021-03-04,1004757,331671
2021-03-05,1004757,331671
2021-03-06,1004757,331671
2021-03-07,1207904,411935
2021-03-08,1207904,411935
2021-03-09,1207904,411935
2021-03-10,1207904,411935
2021-03-11,1207904,411935
2021-03-12,1207904,411935
2021-03-13,1207904,411935
2021-03-14,1394603,493123
2021-03-15,1394603,493123
2021-03-16,1394603,493123
2021-03-17,1394603,493123
2021-03-18,1394603,493123
2021-03-19,1394603,493123
2021-03-20,1394603,493123
2021-03-21,1492489,605491
2021-03-22,1492489,605491
2021-03-23,1492489,605491
2021-03-24,1492489,605491
2021-03-25,1492489,605491
2021-03-26,1492489,605491
2021-03-27,1492489,605491
2021-03-28,1688490,690062
2021-03-29,1688490,690062
2021-03-30,1688490,690062
2021-03-31,1688490,690062
2021-04-01,1688490,690062
2021-04-02,1688490,690062
2021-04-03,1688490,690062
2021-04-04,2057562,806424
2021-04-05,2057562,806424
2021-04-06,2057562,806424
2021-04-07,2057562,806424
2021-04-08,2057562,806424
2021-04-09,2057562,806424
2021-04-10,2057562,806424
2021-04-11,2957777,826135
2021-04-12,2957777,826135
2021-04-13,2957777,826135
2021-04-14,2957777,826135
2021-04-15,2957777,826135
2021-04-16,2957777,826135
2021-04-17,2957777,826135
2021-04-18,3635235,943197
2021-04-19,3635235,943197
2021-04-20,3635235,943197
2021-04-21,3635235,943197
2021-04-22,3635235,943197
2021-04-23,3635235,943197
2021-04-24,3635235,943197
2021-04-25,3880412,943197
2021-04-26,3880412,943197
2021-04-27,3880412,943197
2021-04-28,3880412,943197
2021-04-29,3880412,943197
2021-04-30,3880412,943197
2021-05-01,3880412,943197
2021-05-02,4448730,943197